servers,workload,cpu,energy,temperature,efficiency
4,69.93,59.49,102.45,34.01,57.13
4,69.99,64.33,111.48,34.2,50.65
4,69.67,61.21,109.33,34.39,51.99
4,69.63,60.23,109.18,34.57,49.4
4,69.71,68.29,120.81,34.79,50.32
3,68.83,60.08,95.0,34.91,66.21
3,67.67,58.37,94.87,35.03,58.52
4,66.53,55.51,108.92,35.21,48.07
4,66.68,63.38,105.59,35.37,50.25
4,66.31,59.12,103.38,35.52,52.01
3,66.08,57.29,90.64,35.62,64.85
3,65.51,56.47,88.58,35.71,62.03
3,65.63,56.88,96.4,35.83,58.7
4,65.76,65.36,111.95,36.02,46.49
3,66.72,59.8,92.01,36.12,58.45
4,67.0,67.03,115.35,36.31,47.32
3,69.44,65.54,92.61,36.41,66.96
3,70.25,59.79,90.89,36.51,65.82
4,72.24,68.21,114.8,36.7,49.62
4,74.11,64.84,109.25,36.87,52.44
4,75.65,71.67,117.42,37.07,53.59
4,76.58,65.72,110.63,37.24,55.77
4,77.38,65.42,104.82,37.38,61.94
4,78.46,76.6,119.55,37.59,56.73
4,79.32,76.47,127.3,37.82,55.75
4,80.03,68.1,112.19,37.99,55.59
4,79.34,68.2,109.98,38.15,61.38
4,78.63,72.64,116.16,38.34,56.62
4,77.75,65.33,110.46,38.5,59.32
4,77.33,73.87,111.68,38.67,56.21
4,76.22,73.75,119.51,38.86,53.27
4,74.69,67.57,112.27,39.03,55.68
4,72.5,67.98,107.76,39.17,55.62
4,70.13,65.73,110.56,39.33,46.78
4,68.13,58.07,105.74,39.47,52.66
4,65.87,56.75,105.9,39.61,49.99
4,62.8,58.18,109.44,39.76,45.02
4,60.0,53.59,107.41,39.9,43.77
4,57.4,50.89,104.58,40.03,40.83
3,55.59,51.07,90.98,40.1,51.24
3,53.79,48.85,82.86,40.14,49.85
3,52.05,41.87,77.69,40.16,52.44
2,50.5,52.97,75.99,40.17,62.47
2,48.75,41.4,62.13,39.9,69.57
3,47.51,41.58,75.1,39.91,47.99
3,46.17,43.13,80.93,39.95,47.13
3,45.81,43.35,75.01,39.96,42.01
2,45.85,46.76,68.83,39.69,56.22
2,46.44,39.25,61.63,39.42,63.54
3,46.66,46.48,78.16,39.45,47.26
2,46.58,40.08,60.36,39.19,70.56
2,47.97,45.57,61.5,38.93,71.76
3,48.33,47.95,88.14,39.0,43.52
2,48.4,45.06,67.59,38.75,64.1
3,49.07,48.06,82.68,38.8,49.33
2,48.24,45.1,60.96,38.55,73.45
3,48.39,46.57,86.01,38.61,45.41
2,47.72,38.63,64.99,38.37,66.75
3,47.07,48.14,79.01,38.4,49.18
2,45.83,46.77,70.97,38.41,56.12
2,44.97,44.06,64.18,38.17,62.42
3,43.55,37.92,82.17,38.22,34.9
3,42.18,39.02,73.21,38.23,47.55
3,40.73,39.97,76.95,38.26,42.83
3,38.66,35.57,70.76,38.26,38.86
3,36.33,35.08,76.62,38.29,35.43
3,35.1,30.48,69.82,38.05,36.03
3,33.66,31.32,69.67,38.05,36.01
2,31.36,26.91,52.24,37.81,47.4
2,30.0,31.49,60.16,37.58,37.34
2,28.81,29.16,56.29,37.36,38.23
2,28.5,32.2,57.83,37.13,40.16
2,28.76,30.53,55.22,36.92,41.44
2,28.9,24.72,46.02,36.7,53.24
3,29.27,24.77,64.23,36.49,29.91
2,30.64,29.55,60.21,36.28,40.47
2,31.51,31.72,55.62,36.08,46.76
2,32.48,28.89,59.24,35.88,44.34
2,34.74,37.48,56.7,35.69,44.78
3,36.91,29.04,76.03,35.73,34.1
2,39.11,31.91,60.74,35.53,53.87
2,41.66,40.41,64.33,35.34,58.89
2,44.35,37.53,57.17,35.16,66.85
3,46.94,43.01,81.9,35.22,45.24
3,49.05,41.69,77.97,35.27,48.48
3,51.22,45.82,89.16,35.37,46.89
3,52.25,48.35,90.39,35.47,45.32
2,52.93,46.74,67.19,35.47,72.89
2,54.43,48.38,68.84,35.49,73.11
4,55.87,52.92,105.65,35.65,40.46
4,56.62,53.25,101.8,35.79,41.85
4,56.54,46.97,94.79,35.9,46.06
3,57.19,55.36,89.97,36.0,52.69
3,56.81,50.21,87.12,36.08,49.94
3,56.55,53.15,86.35,36.16,52.89
4,56.32,50.18,101.82,36.3,40.45
4,55.86,56.37,106.57,36.46,38.82
3,55.59,51.06,84.09,36.53,58.15
4,55.97,51.05,99.49,36.66,44.86
3,55.73,49.69,86.79,36.73,52.54
3,56.48,55.25,87.03,36.81,55.41
4,57.02,57.18,104.71,36.96,44.94
4,57.18,52.51,103.07,37.1,41.7
4,58.38,57.55,104.79,37.25,42.05
3,60.26,53.34,89.21,37.33,56.19
3,62.28,60.88,91.98,37.42,57.18
4,63.24,59.81,113.74,37.6,42.89
4,65.2,61.48,109.96,37.77,47.88
3,66.92,63.2,95.52,37.87,60.61
4,68.79,65.85,112.87,38.05,47.53
4,70.78,72.67,120.04,38.25,46.05
3,73.07,72.13,107.81,38.4,64.45
4,74.45,75.54,124.23,38.62,50.77
4,76.23,76.92,128.0,38.85,52.1
4,77.85,68.9,114.45,39.02,53.84
4,79.06,76.47,118.08,39.21,55.34
4,80.43,76.23,126.17,39.43,54.7
4,81.1,70.95,115.25,39.6,59.29
4,81.76,77.97,120.92,39.8,60.6
4,80.99,77.9,117.63,39.98,62.4
4,80.38,82.31,125.33,40.19,56.16
4,79.71,75.44,121.95,40.39,52.51
4,78.94,69.53,117.1,40.57,56.49
4,77.02,75.32,121.23,40.76,52.57
4,74.51,67.79,107.53,40.89,57.25
4,72.19,72.48,120.4,41.08,46.79
3,70.77,69.01,95.54,41.17,65.95
4,67.94,62.26,111.75,41.32,45.73
3,65.82,56.72,92.91,41.39,63.47
4,64.67,60.2,107.25,41.52,48.31
3,62.93,57.11,90.29,41.58,57.43
4,61.46,52.94,102.77,41.69,47.02
4,60.27,57.51,103.4,41.81,46.03
4,59.01,60.01,108.84,41.94,40.67
3,58.88,55.66,89.43,42.0,59.26
4,58.86,50.34,100.87,42.1,45.36
4,58.18,53.88,100.79,42.2,44.82
4,58.64,54.07,104.95,42.32,43.58
4,58.1,54.45,105.72,42.43,43.41
3,59.0,54.18,84.51,42.47,55.16
4,58.97,54.88,100.02,42.56,44.14
4,59.42,54.4,96.78,42.65,45.87
4,59.74,52.68,98.67,42.73,43.38
4,60.47,53.02,104.46,42.85,45.68
4,60.21,51.95,100.99,42.94,46.84
3,59.86,51.11,88.8,42.99,55.02
4,58.51,56.64,103.51,43.1,40.41
4,57.74,49.86,105.43,43.21,42.01
3,56.77,54.56,92.84,43.27,50.67
4,55.18,54.88,107.52,43.39,39.86
2,53.47,50.94,74.2,43.06,67.17
2,51.5,51.2,73.37,42.74,64.23
2,50.17,45.49,73.06,42.42,60.25
3,48.0,40.51,81.08,42.44,49.5
2,44.88,42.5,64.94,42.12,60.83
3,42.65,37.21,77.69,42.13,43.91
3,40.45,34.69,69.45,41.82,42.21
3,37.97,31.91,68.67,41.52,42.16
3,36.36,33.86,68.57,41.22,36.49
3,34.75,35.67,73.83,40.93,32.98
2,32.72,29.25,58.15,40.64,44.0
3,32.03,29.23,66.78,40.36,31.43
3,31.11,30.29,66.98,40.09,33.54
3,30.35,30.02,65.8,39.81,30.95
3,29.97,27.35,64.33,39.55,29.61
2,31.16,28.5,53.55,39.29,45.57
3,31.52,27.99,66.08,39.03,36.22
2,32.63,29.03,49.66,38.78,51.34
3,33.34,34.05,71.57,38.78,34.08
3,35.77,30.45,61.78,38.53,40.24
2,37.02,29.26,54.94,38.29,55.1
3,37.85,33.16,72.38,38.3,37.03
3,39.8,31.84,68.4,38.06,43.09
2,41.22,35.8,59.55,37.82,57.53
3,42.8,40.07,72.45,37.84,46.99
3,44.41,42.81,78.86,37.87,45.56
3,45.36,41.77,81.05,37.92,44.91
3,46.32,38.7,78.55,37.96,44.02
2,47.08,37.4,56.94,37.72,72.93
3,46.74,44.12,76.72,37.76,47.64
3,47.57,41.09,75.25,37.78,44.82
3,47.69,46.48,85.61,37.85,41.76
3,46.83,38.82,75.79,37.87,49.75
3,47.17,46.85,80.56,37.92,46.53
3,46.23,42.75,78.51,37.95,46.08
2,45.93,38.19,58.15,37.72,71.96
3,45.13,40.03,75.67,37.75,45.16
3,45.0,38.3,77.46,37.78,47.29
2,44.37,40.63,64.43,37.55,62.66
3,44.29,42.94,83.72,37.61,44.53
3,45.01,39.92,78.6,37.65,43.74
3,45.39,38.75,77.74,37.68,45.29
2,46.15,44.66,61.7,37.45,68.47
3,47.58,47.49,85.51,37.52,42.4
3,49.63,47.58,79.95,37.57,50.53
3,51.53,43.7,79.68,37.61,51.39
2,53.87,50.76,72.09,37.62,71.86
4,56.98,52.73,107.61,37.78,41.59
4,59.32,53.15,101.76,37.91,44.68
4,62.0,51.21,104.83,38.05,44.65
4,64.48,57.72,104.63,38.19,46.11
3,66.98,67.33,94.51,38.29,60.32
4,69.12,67.44,111.5,38.45,45.94
4,71.59,65.29,117.28,38.64,47.93
3,74.04,68.02,106.06,38.79,62.61
4,75.74,69.05,121.42,38.99,53.8
4,77.5,69.63,115.69,39.17,58.09
4,78.91,73.92,119.4,39.36,58.31
4,78.99,70.11,113.56,39.53,57.56
4,79.48,73.39,115.64,39.7,61.29
4,79.89,69.79,119.27,39.89,55.15
4,79.88,70.73,115.12,40.06,55.63
4,79.08,66.67,116.43,40.24,55.69
4,77.85,76.19,117.44,40.42,49.91
4,76.62,73.26,121.31,40.61,54.13
4,75.43,62.8,112.54,40.77,56.93
3,73.97,64.65,96.04,40.86,69.97
4,72.93,68.72,114.91,41.02,50.42
4,70.55,71.19,117.15,41.19,50.14
4,68.85,67.58,116.45,41.36,45.29
4,68.14,65.13,107.26,41.49,53.36
4,67.17,60.83,105.62,41.62,50.64
3,66.92,65.18,94.66,41.69,62.35
3,66.24,59.82,94.17,41.77,62.88
4,65.36,58.59,106.93,41.9,46.67
3,65.75,66.25,96.06,41.98,58.38
4,66.17,59.18,108.31,42.11,47.75
4,66.84,61.27,111.67,42.26,47.39
3,67.64,70.31,99.97,42.35,61.93
3,68.61,63.46,101.39,42.45,61.81
4,69.32,66.71,114.82,42.61,47.09
4,69.47,62.83,117.89,42.78,47.62
4,70.21,67.54,117.04,42.94,47.39
4,70.91,69.69,112.58,43.08,51.3
4,70.82,72.94,115.77,43.23,50.53
3,70.64,69.19,98.78,43.32,61.68
3,70.6,67.41,94.95,43.39,68.67
4,70.25,63.78,109.66,43.52,50.97
4,69.28,67.32,111.5,43.65,51.48
4,67.39,68.6,116.17,43.81,47.37
4,65.53,55.68,101.77,43.9,51.42
3,63.93,56.63,94.68,43.96,56.76
4,61.56,52.89,103.16,44.06,47.51
4,58.93,49.36,96.64,44.14,45.77
4,56.86,47.17,96.52,44.21,44.24
3,54.3,55.91,92.74,44.26,52.15
3,51.71,51.63,85.16,44.29,48.67
2,48.9,45.07,68.55,43.94,63.53
2,46.57,48.71,67.89,43.6,62.81
3,44.36,43.79,75.16,43.27,44.77
3,42.31,40.04,76.84,42.94,38.97
2,40.5,43.06,61.09,42.61,56.07
2,38.57,37.31,64.14,42.3,49.83
2,38.05,35.6,55.8,41.99,54.88
2,37.37,33.78,57.34,41.68,52.84
3,36.82,34.19,79.24,41.7,33.21
3,35.71,30.47,72.85,41.4,35.9
3,35.93,34.25,70.93,41.1,34.49
3,36.38,35.36,73.87,40.81,38.27
3,37.25,31.09,74.31,40.81,35.34
2,38.39,37.93,63.5,40.53,48.69
2,39.74,39.99,64.45,40.25,49.86
2,40.93,40.46,65.12,39.97,54.01
3,41.11,35.46,77.36,39.99,42.63
3,42.09,38.12,76.85,40.01,39.44
3,42.87,46.18,83.62,40.06,41.0
2,42.35,41.4,62.59,39.78,55.56
3,42.98,42.42,76.1,39.8,41.22
3,42.99,44.63,75.25,39.81,42.44
3,42.12,42.47,76.02,39.83,45.35
2,41.77,38.6,57.99,39.56,60.87
3,41.3,36.62,73.85,39.57,40.78
3,41.05,34.51,78.28,39.59,38.43
2,40.09,34.62,57.39,39.33,59.59
2,38.63,36.4,53.71,39.07,59.47
3,37.66,35.73,68.96,38.82,37.53
2,36.98,30.26,58.93,38.57,51.8
2,36.06,34.24,53.61,38.33,53.36
2,35.45,34.06,56.73,38.09,48.74
2,34.96,39.59,62.55,37.85,46.89
2,35.64,34.45,57.47,37.62,49.54
3,35.09,35.06,73.85,37.64,38.33
3,35.5,31.95,70.19,37.65,34.54
3,36.45,34.83,68.52,37.42,37.48
2,38.01,33.59,65.02,37.19,47.89
3,40.08,36.67,77.83,37.23,38.25
3,41.85,41.35,83.95,37.29,37.57
2,44.36,41.59,66.71,37.07,57.19
3,46.29,37.58,73.46,37.1,50.34
2,49.05,48.55,70.93,37.11,65.52
3,51.9,45.24,78.73,37.15,52.76
2,53.86,44.98,66.31,36.93,75.38
3,56.58,49.44,88.92,37.01,52.31
3,59.1,53.62,84.9,37.08,56.7
4,61.86,54.71,102.93,37.22,47.81
4,63.34,62.87,105.33,37.37,49.93
4,64.95,60.46,114.93,37.55,42.04
4,66.38,58.71,109.5,37.72,48.98
4,67.85,61.29,106.81,37.87,52.37
3,68.11,64.01,94.33,37.97,63.64
3,69.26,65.42,94.76,38.07,67.08
3,69.5,66.19,101.04,38.19,59.82
4,69.5,64.46,111.37,38.36,54.17
4,69.94,56.15,106.48,38.51,50.38
4,69.52,69.1,112.12,38.67,52.48
4,68.96,57.89,107.54,38.82,50.6
4,67.13,58.67,102.72,38.95,48.85
4,67.17,58.06,105.34,39.09,54.58
4,66.54,63.09,108.25,39.24,48.14
4,66.66,64.49,116.23,39.42,44.31
3,66.4,59.38,87.27,39.48,66.26
3,65.65,54.19,87.69,39.54,58.85
4,66.2,50.89,102.33,39.66,50.15
4,67.41,65.4,112.68,39.83,51.08
3,67.8,57.53,93.96,39.91,61.19
4,67.71,57.4,108.89,40.06,46.41
4,69.15,63.84,109.89,40.21,50.17
4,70.12,65.69,110.47,40.36,51.19
3,71.78,64.6,94.69,40.45,66.47
4,73.37,66.43,114.12,40.61,51.66
4,74.27,68.63,116.82,40.78,51.68
4,75.62,70.62,115.54,40.95,54.38
4,76.61,70.18,116.26,41.12,55.68
4,77.79,70.55,115.87,41.29,55.01
4,78.62,75.66,118.84,41.47,55.41
4,79.12,66.65,112.03,41.61,59.5
4,78.72,72.55,115.89,41.78,57.03
4,78.76,68.64,116.19,41.94,56.2
4,78.05,72.49,115.11,42.1,58.19
4,77.78,69.71,120.22,42.28,54.32
4,76.33,64.22,113.23,42.43,54.64
3,74.93,64.26,97.81,42.52,70.43
3,72.86,65.06,94.66,42.59,69.68
4,70.32,67.11,109.66,42.72,48.77
3,67.9,62.45,89.44,42.77,69.85
4,65.08,57.7,102.9,42.88,51.08
4,63.26,56.41,107.9,43.0,44.77
4,60.55,56.83,109.73,43.13,41.71
3,57.48,51.43,84.86,43.16,56.26
2,54.71,56.42,72.43,42.84,71.65
2,53.15,53.15,63.74,42.52,81.13
3,51.31,48.8,82.09,42.54,50.58
2,50.38,42.27,63.73,42.22,71.37
3,48.84,44.1,84.73,42.26,44.56
3,48.26,42.97,77.52,42.27,48.19
3,47.03,42.66,78.07,42.27,45.02
2,47.36,40.81,57.4,41.96,73.72
2,47.08,51.3,68.26,41.66,62.21
3,47.76,42.06,78.5,41.67,48.55
2,47.77,45.51,65.16,41.37,67.94
3,47.93,40.55,78.38,41.39,46.89
3,48.04,46.51,86.08,41.43,37.38
2,48.79,46.65,68.09,41.14,64.45
2,49.5,46.74,73.04,40.85,61.85
3,50.48,48.76,80.89,40.88,49.97
3,50.28,47.72,86.08,40.92,45.61
2,49.51,49.0,65.16,40.64,70.99
2,48.75,43.16,63.42,40.36,66.76
3,47.91,46.29,79.85,40.38,44.86
3,46.78,38.6,74.37,40.39,46.22
3,45.31,44.43,81.82,40.42,42.81
2,44.05,40.78,62.76,40.15,62.04
2,42.56,36.72,59.89,39.87,59.57
3,41.47,38.72,73.52,39.88,43.64
3,39.02,33.9,77.41,39.9,36.21
3,36.82,34.53,69.91,39.63,41.74
2,34.46,36.44,54.21,39.37,51.68
2,32.97,26.8,53.23,39.11,51.54
2,31.5,28.12,52.7,38.86,48.33
3,30.8,29.85,68.8,38.61,36.03
3,29.69,27.68,68.2,38.36,31.24
2,29.33,32.0,56.4,38.12,37.01
2,29.79,30.21,51.25,37.88,41.4
2,30.21,24.48,51.89,37.65,44.27
2,30.76,24.9,50.91,37.42,41.88
2,32.16,26.57,49.46,37.2,53.22
3,33.27,34.07,72.25,37.22,35.82
3,34.46,31.48,74.68,37.24,33.45
3,35.95,33.39,70.3,37.25,37.4
3,37.98,30.17,71.34,37.26,38.77
3,40.45,38.07,78.03,37.3,41.01
3,42.86,38.59,75.56,37.33,44.81
3,44.68,38.79,76.36,37.36,45.22
3,47.43,43.51,75.58,37.39,47.67
3,49.41,39.94,75.53,37.42,53.42
3,52.11,46.86,75.4,37.44,53.47
3,52.92,45.58,73.18,37.46,57.35
3,54.82,53.79,89.16,37.54,46.98
4,55.7,51.08,101.8,37.68,39.65
3,56.35,50.56,83.92,37.73,53.95
4,56.8,50.46,100.25,37.86,43.4
4,57.58,52.89,100.04,37.98,45.23
4,58.03,45.03,96.43,38.09,45.87
4,58.32,58.12,103.44,38.23,43.64
4,58.39,60.15,109.73,38.38,43.68
4,58.19,58.85,109.26,38.54,39.22
4,57.92,56.79,108.62,38.69,40.87
3,57.42,52.57,91.05,38.78,52.41
4,56.68,54.78,103.69,38.91,41.91
4,56.88,43.89,93.29,39.0,46.04
4,57.39,56.38,99.47,39.11,45.57
4,57.33,46.41,95.32,39.21,40.88
4,58.26,51.57,103.21,39.34,40.78
4,58.98,56.82,103.26,39.46,44.27
4,60.29,60.81,108.9,39.61,45.97
4,61.83,57.56,104.72,39.74,45.03
4,63.55,62.02,114.72,39.91,45.87
4,65.42,58.47,112.21,40.07,45.46
4,67.02,57.59,104.96,40.2,47.56
3,69.14,60.74,90.87,40.28,69.86
4,71.48,65.21,108.89,40.42,54.92
4,73.58,66.09,114.66,40.59,50.4
4,75.68,64.04,114.36,40.75,55.02
4,77.65,69.08,116.05,40.92,54.28
4,78.65,62.53,109.03,41.06,59.99
4,79.64,75.53,122.46,41.25,54.14
4,80.41,80.6,123.07,41.45,56.9
4,80.67,69.24,117.66,41.62,58.33
4,80.47,67.39,117.56,41.79,55.57
4,79.61,76.49,123.06,41.98,57.22
4,79.37,76.01,123.71,42.17,54.69
4,79.18,82.57,125.01,42.37,56.42
4,77.53,71.03,118.94,42.54,54.45
4,75.92,71.3,118.92,42.71,54.62
4,73.94,70.34,113.1,42.86,56.74
4,72.87,68.78,112.8,43.0,51.88
3,71.26,71.26,107.97,43.13,58.54
3,68.92,67.17,103.4,43.23,60.96
4,67.0,62.95,102.77,43.33,51.39
3,65.11,61.99,99.85,43.42,59.78
3,63.11,56.99,91.17,43.48,57.6
4,61.12,61.25,110.89,43.61,41.55
4,60.29,49.67,100.5,43.7,47.45
4,59.28,51.29,99.48,43.79,45.14
3,58.47,49.59,84.14,43.81,54.43
3,57.84,49.37,84.31,43.83,57.59
4,58.03,50.22,98.72,43.92,43.98
4,57.69,46.45,98.94,44.0,42.83
4,57.73,48.07,98.37,44.08,42.69
4,58.31,46.69,97.9,44.16,50.37
3,58.79,51.96,86.33,44.19,55.04
3,59.46,52.83,92.48,44.24,53.12
4,59.92,56.23,104.15,44.34,46.18
4,60.01,52.32,105.6,44.45,43.47
4,60.32,53.1,107.17,44.56,42.73
4,59.85,51.35,106.79,44.67,46.14
3,60.14,55.51,93.84,44.73,51.67
3,59.17,50.14,83.29,44.74,57.94
4,57.62,59.01,103.89,44.84,43.07
4,56.57,47.28,101.36,44.93,42.4
3,54.46,48.63,85.13,44.95,51.47
2,52.06,49.21,70.97,44.59,70.68
3,49.62,45.38,81.21,44.59,46.7
2,46.96,44.93,59.23,44.24,66.76
3,44.4,41.27,76.44,43.9,47.59
2,41.94,37.37,60.32,43.56,55.25
3,39.98,37.22,68.53,43.22,47.28
2,37.63,34.88,56.2,42.89,56.14
2,34.97,33.0,55.05,42.57,54.05
3,33.06,29.74,70.85,42.26,37.2
2,31.6,27.98,52.68,41.94,49.67
2,30.24,27.04,51.9,41.64,45.7
2,29.51,28.42,55.34,41.34,40.36
2,28.83,30.57,57.09,41.05,41.75
2,28.7,24.85,52.87,40.76,40.54
2,29.45,24.79,50.81,40.47,42.23
2,30.24,21.7,50.98,40.2,47.09
3,31.48,33.6,69.03,39.92,35.97
3,33.11,32.16,74.13,39.93,30.02
2,34.18,29.36,57.16,39.66,47.38
3,35.94,30.7,63.83,39.4,40.17
2,37.06,35.8,61.37,39.14,50.16
3,39.37,37.24,75.59,39.15,41.57
2,41.29,37.42,59.57,38.9,59.28
2,42.3,46.99,72.14,38.9,51.52
3,43.74,37.04,75.41,38.92,41.77
3,45.07,44.64,74.99,38.94,45.09
2,45.83,46.78,68.88,38.69,56.1
3,46.98,42.11,74.83,38.71,46.23
2,47.12,42.29,59.28,38.46,65.22
2,47.12,46.78,66.19,38.22,66.36
3,46.37,39.05,76.81,38.24,47.63
3,46.11,41.81,79.81,38.28,42.97
3,45.9,42.71,79.4,38.32,44.64
3,45.37,46.28,81.68,38.37,42.71
3,45.67,41.33,78.68,38.4,48.3
2,44.78,40.28,60.85,38.16,64.56
3,44.81,35.29,70.6,38.17,46.22
2,43.97,37.62,59.28,37.93,63.11
3,43.9,37.27,73.63,37.95,45.01
3,44.57,42.37,73.73,37.96,47.49
3,45.38,42.58,80.68,38.01,45.34
2,46.08,42.65,64.93,37.77,63.54
2,47.13,43.91,69.58,37.78,60.11
2,48.02,39.12,60.98,37.55,64.72
3,50.34,46.6,85.11,37.61,49.44
2,53.19,44.9,64.19,37.38,76.43
4,55.93,48.69,96.24,37.49,41.87
4,58.45,55.88,101.41,37.62,42.74
4,60.75,53.91,103.3,37.76,43.91
3,64.16,59.99,89.51,37.84,61.21
3,66.5,54.66,89.15,37.92,63.13
4,68.67,63.02,111.51,38.09,50.35
4,71.11,69.56,113.69,38.27,49.77
4,73.57,69.91,112.8,38.44,50.09
4,75.44,73.18,113.22,38.61,57.17
4,76.77,77.97,118.49,38.8,51.73
4,77.74,65.95,115.35,38.98,56.09
4,78.5,73.5,120.2,39.18,58.77
4,79.16,62.07,108.27,39.33,57.74
4,79.33,77.95,117.3,39.51,53.03
4,79.72,75.57,120.09,39.7,55.97
4,78.39,66.41,113.78,39.87,55.09
4,76.94,70.75,112.38,40.03,56.67
4,76.54,75.26,121.06,40.23,57.83
4,75.33,63.83,108.05,40.37,56.09
4,74.08,65.33,115.98,40.54,54.65
3,73.13,60.33,91.3,40.61,71.86
3,71.2,63.51,99.4,40.71,64.64
4,70.13,68.91,114.95,40.88,53.18
4,69.68,68.54,111.33,41.03,51.44
4,68.83,66.67,114.13,41.19,48.01
4,68.59,65.67,115.15,41.35,46.95
3,68.69,69.69,98.35,41.45,61.36
4,68.21,67.0,114.21,41.61,47.67
4,68.23,62.38,110.77,41.75,50.77
4,68.11,55.23,105.94,41.87,46.79
4,69.2,65.95,111.45,42.02,45.25
3,69.45,67.87,93.41,42.09,65.51
4,70.49,60.87,109.71,42.23,49.56
4,70.89,65.44,113.95,42.38,51.04
4,71.93,62.57,116.32,42.54,47.82
3,71.94,72.36,102.72,42.64,61.46
3,72.49,66.19,98.54,42.73,64.21
4,71.71,70.16,116.12,42.89,49.34
4,71.03,68.31,119.42,43.06,49.55
4,71.15,59.25,108.9,43.19,55.81
3,70.56,62.35,91.8,43.25,70.49
4,68.92,66.15,114.96,43.4,48.06
4,67.22,66.21,111.19,43.53,48.22
3,65.49,57.65,87.66,43.57,61.04
4,62.71,54.4,101.94,43.67,48.07
3,60.69,55.88,94.06,43.73,58.15
3,57.59,49.94,86.47,43.77,53.54
4,56.0,54.59,106.99,43.88,38.8
3,52.94,52.31,82.12,43.9,50.97
3,50.24,46.84,83.99,43.92,50.74
3,48.54,46.05,82.43,43.93,46.44
3,46.06,40.53,76.75,43.59,50.64
3,43.34,40.06,75.4,43.26,43.75
2,41.56,36.76,57.59,42.93,61.38
3,39.86,36.57,75.01,42.61,42.62
3,38.49,38.22,77.15,42.61,37.13
2,38.21,37.7,56.29,42.29,57.36
3,37.28,33.21,73.65,41.98,35.0
2,36.64,30.25,52.77,41.68,54.13
3,36.39,32.26,74.08,41.38,35.23
2,36.55,28.77,58.1,41.08,54.91
3,37.03,33.44,72.28,40.79,35.05
3,38.15,31.34,72.01,40.51,40.52
2,38.6,37.69,63.06,40.23,48.92
3,40.04,36.36,73.03,40.23,41.24
